trip_id,orden,stop_id,hora_llegada,hora_salida
0019012026-04-04,2,18000,8:43:00,8:51:00
0019012026-04-04,5,35200,10:15:00,10:17:00
0019012026-04-04,9,35400,12:08:00,12:10:00
0019012026-04-04,10,37500,12:42:00,12:47:00
0019012026-10-13,2,18000,8:43:00,8:51:00
0019012026-10-13,5,35200,10:15:00,10:17:00
0019012026-10-13,9,35400,12:08:00,12:10:00
0019012026-10-13,10,37500,12:42:00,12:47:00
0019022026-04-04,2,18000,8:43:00,8:51:00
0019022026-04-04,5,35200,10:15:00,10:17:00
0019022026-04-04,9,35400,12:08:00,12:10:00
0019022026-04-04,10,37500,12:42:00,12:47:00
0019022026-10-13,2,18000,8:43:00,8:51:00
0019022026-10-13,5,35200,10:15:00,10:17:00
0019022026-10-13,9,35400,12:08:00,12:10:00
0019022026-10-13,10,37500,12:42:00,12:47:00
0019032026-04-04,2,18000,9:23:00,9:31:00
0019032026-04-04,5,35200,10:55:00,10:57:00
0019032026-04-04,9,35400,12:48:00,12:50:00
0019032026-04-04,10,37500,13:22:00,13:27:00
0019032026-10-11,2,18000,9:23:00,9:31:00
0019032026-10-11,5,35200,10:55:00,10:57:00
0019032026-10-11,9,35400,12:48:00,12:50:00
0019032026-10-11,10,37500,13:22:00,13:27:00
0019042026-04-04,2,18000,9:23:00,9:31:00
0019042026-04-04,5,35200,10:55:00,10:57:00
0019042026-04-04,9,35400,12:48:00,12:50:00
0019042026-04-04,10,37500,13:22:00,13:27:00
0019042026-10-11,2,18000,9:23:00,9:31:00
0019042026-10-11,5,35200,10:55:00,10:57:00
0019042026-10-11,9,35400,12:48:00,12:50:00
0019042026-10-11,10,37500,13:22:00,13:27:00
0019212026-04-04,2,18000,16:30:00,16:38:00
0019212026-04-04,5,35200,17:58:00,18:00:00
0019212026-04-04,9,35400,19:45:00,19:47:00
0019212026-04-04,10,37500,20:19:00,20:24:00
0019222026-04-04,2,18000,16:30:00,16:38:00
0019222026-04-04,5,35200,17:58:00,18:00:00
0019222026-04-04,9,35400,19:45:00,19:47:00
0019222026-04-04,10,37500,20:19:00,20:24:00
0019412026-04-04,2,18000,18:33:00,18:40:00
0019412026-04-04,4,35200,19:58:00,20:00:00
0019412026-04-04,6,30002,21:31:00,21:36:00
0019412026-04-04,7,35400,22:10:00,22:12:00
0019412026-05-02,2,18000,18:33:00,18:40:00
0019412026-05-02,4,35200,19:58:00,20:00:00
0019412026-05-02,6,30002,21:31:00,21:36:00
0019412026-05-02,7,35400,22:10:00,22:12:00
0019412026-05-05,2,18000,18:33:00,18:40:00
0019412026-05-05,4,35200,19:58:00,20:00:00
0019412026-05-05,6,30002,21:31:00,21:36:00
0019412026-05-05,7,35400,22:10:00,22:12:00
0019412026-05-06,2,18000,18:33:00,18:40:00
0019412026-05-06,4,35200,19:58:00,20:00:00
0019412026-05-06,6,30002,21:31:00,21:36:00
0019412026-05-06,7,35400,22:10:00,22:12:00
0019412026-05-07,2,18000,18:33:00,18:40:00
0019412026-05-07,4,35200,19:58:00,20:00:00
0019412026-05-07,6,30002,21:31:00,21:36:00
0019412026-05-07,7,35400,22:10:00,22:12:00
0019412026-05-08,2,18000,18:33:00,18:40:00
0019412026-05-08,4,35200,19:58:00,20:00:00
0019412026-05-08,6,30002,21:31:00,21:36:00
0019412026-05-08,7,35400,22:10:00,22:12:00
0019412026-05-10,2,18000,18:33:00,18:40:00
0019412026-05-10,4,35200,19:58:00,20:00:00
0019412026-05-10,6,30002,21:31:00,21:36:00
0019412026-05-10,7,35400,22:10:00,22:12:00
0019412026-05-11,2,18000,18:33:00,18:40:00
0019412026-05-11,4,35200,19:58:00,20:00:00
0019412026-05-11,6,30002,21:31:00,21:36:00
0019412026-05-11,7,35400,22:10:00,22:12:00
0019412026-05-12,2,18000,18:33:00,18:40:00
0019412026-05-12,4,35200,19:58:00,20:00:00
0019412026-05-12,6,30002,21:31:00,21:36:00
0019412026-05-12,7,35400,22:10:00,22:12:00
0019412026-05-13,2,18000,18:33:00,18:40:00
0019412026-05-13,4,35200,19:58:00,20:00:00
0019412026-05-13,6,30002,21:31:00,21:36:00
0019412026-05-13,7,35400,22:10:00,22:12:00
0019412026-05-14,2,18000,18:33:00,18:40:00
0019412026-05-14,4,35200,19:58:00,20:00:00
0019412026-05-14,6,30002,21:31:00,21:36:00
0019412026-05-14,7,35400,22:10:00,22:12:00
0019412026-05-15,2,18000,18:33:00,18:40:00
0019412026-05-15,4,35200,19:58:00,20:00:00
0019412026-05-15,6,30002,21:31:00,21:36:00
0019412026-05-15,7,35400,22:10:00,22:12:00
0019412026-05-17,2,18000,18:33:00,18:40:00
0019412026-05-17,4,35200,19:58:00,20:00:00
0019412026-05-17,6,30002,21:31:00,21:36:00
0019412026-05-17,7,35400,22:10:00,22:12:00
0019412026-05-18,2,18000,18:33:00,18:40:00
0019412026-05-18,4,35200,19:58:00,20:00:00
0019412026-05-18,6,30002,21:31:00,21:36:00
0019412026-05-18,7,35400,22:10:00,22:12:00
0019412026-05-19,2,18000,18:33:00,18:40:00
0019412026-05-19,4,35200,19:58:00,20:00:00
0019412026-05-19,6,30002,21:31:00,21:36:00
0019412026-05-19,7,35400,22:10:00,22:12:00
0019412026-05-20,2,18000,18:33:00,18:40:00
0019412026-05-20,4,35200,19:58:00,20:00:00
0019412026-05-20,6,30002,21:31:00,21:36:00
0019412026-05-20,7,35400,22:10:00,22:12:00
0019412026-05-21,2,18000,18:33:00,18:40:00
0019412026-05-21,4,35200,19:58:00,20:00:00
0019412026-05-21,6,30002,21:31:00,21:36:00
0019412026-05-21,7,35400,22:10:00,22:12:00
0019412026-05-22,2,18000,18:33:00,18:40:00
0019412026-05-22,4,35200,19:58:00,20:00:00
0019412026-05-22,6,30002,21:31:00,21:36:00
0019412026-05-22,7,35400,22:10:00,22:12:00
