trip_id,fecha_operacion,tipo_tren,origen_gtfs,hora_salida,destino_gtfs,hora_llegada,duracion_min,precio_base
0019012026-04-04,2026-04-04,ALVIA,17000,8:30:00,37606,13:26:00,296,26.59
0019012026-10-13,2026-10-13,ALVIA,17000,8:30:00,37606,13:26:00,296,80.44
0019022026-04-04,2026-04-04,ALVIA,17000,8:30:00,37606,13:26:00,296,79.74
0019022026-10-13,2026-10-13,ALVIA,17000,8:30:00,37606,13:26:00,296,75.11
0019032026-04-04,2026-04-04,ALVIA,17000,9:10:00,37606,14:06:00,296,33.79
0019032026-10-11,2026-10-11,ALVIA,17000,9:10:00,37606,14:06:00,296,52.53
0019042026-04-04,2026-04-04,ALVIA,17000,9:10:00,37606,14:06:00,296,58.65
0019042026-10-11,2026-10-11,ALVIA,17000,9:10:00,37606,14:06:00,296,45.12
0019212026-04-04,2026-04-04,ALVIA,17000,16:17:00,37606,20:56:00,279,89.68
0019222026-04-04,2026-04-04,ALVIA,17000,16:17:00,37606,20:56:00,279,69.38
0019412026-04-04,2026-04-04,ALVIA,17000,18:20:00,37606,23:01:00,281,62.22
0019412026-05-02,2026-05-02,ALVIA,17000,18:20:00,37606,23:01:00,281,87.08
0019412026-05-05,2026-05-05,ALVIA,17000,18:20:00,37606,23:01:00,281,44.91
0019412026-05-06,2026-05-06,ALVIA,17000,18:20:00,37606,23:01:00,281,51.27
0019412026-05-07,2026-05-07,ALVIA,17000,18:20:00,37606,23:01:00,281,25.08
0019412026-05-08,2026-05-08,ALVIA,17000,18:20:00,37606,23:01:00,281,53.61
0019412026-05-10,2026-05-10,ALVIA,17000,18:20:00,37606,23:01:00,281,73.86
0019412026-05-11,2026-05-11,ALVIA,17000,18:20:00,37606,23:01:00,281,74.11
0019412026-05-12,2026-05-12,ALVIA,17000,18:20:00,37606,23:01:00,281,68.9
0019412026-05-13,2026-05-13,ALVIA,17000,18:20:00,37606,23:01:00,281,39.52
0019412026-05-14,2026-05-14,ALVIA,17000,18:20:00,37606,23:01:00,281,51.89
0019412026-05-15,2026-05-15,ALVIA,17000,18:20:00,37606,23:01:00,281,28.68
0019412026-05-17,2026-05-17,ALVIA,17000,18:20:00,37606,23:01:00,281,73.61
0019412026-05-18,2026-05-18,ALVIA,17000,18:20:00,37606,23:01:00,281,84.14
0019412026-05-19,2026-05-19,ALVIA,17000,18:20:00,37606,23:01:00,281,57.53
0019412026-05-20,2026-05-20,ALVIA,17000,18:20:00,37606,23:01:00,281,89.06
0019412026-05-21,2026-05-21,ALVIA,17000,18:20:00,37606,23:01:00,281,55.57
0019412026-05-22,2026-05-22,ALVIA,17000,18:20:00,37606,23:01:00,281,39.04
0019412026-05-24,2026-05-24,ALVIA,17000,18:20:00,37606,23:01:00,281,51.19
0019412026-05-25,2026-05-25,ALVIA,17000,18:20:00,37606,23:01:00,281,48.89
0019412026-05-26,2026-05-26,ALVIA,17000,18:20:00,37606,23:01:00,281,73.54
0019412026-05-27,2026-05-27,ALVIA,17000,18:20:00,37606,23:01:00,281,54.55
0019412026-05-28,2026-05-28,ALVIA,17000,18:20:00,37606,23:01:00,281,33.66
0019412026-05-29,2026-05-29,ALVIA,17000,18:20:00,37606,23:01:00,281,55.42
0019412026-05-31,2026-05-31,ALVIA,17000,18:20:00,37606,23:01:00,281,25.61
